timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695069354602,659,HTTP Request,200,OK,ThreadLoadTestRokomari 1-5,text,true,,526445,240,16,16,https://www.rokomari.com/book,222,0,149
1695069354602,227,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-5,,true,,880,118,16,16,https://www.rokomari.com/,222,0,149
1695069354830,431,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-5,text,true,,525565,122,16,16,https://www.rokomari.com/book,123,0,0
1695069354494,805,HTTP Request,200,OK,ThreadLoadTestRokomari 1-3,text,true,,526427,240,17,17,https://www.rokomari.com/book,330,0,256
1695069354494,335,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-3,,true,,868,118,17,17,https://www.rokomari.com/,330,0,256
1695069354831,468,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-3,text,true,,525559,122,17,17,https://www.rokomari.com/book,125,0,0
1695069354550,892,HTTP Request,200,OK,ThreadLoadTestRokomari 1-4,text,true,,526437,240,19,19,https://www.rokomari.com/book,282,0,201
1695069354550,282,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-4,,true,,874,118,19,19,https://www.rokomari.com/,282,0,201
1695069354832,610,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-4,text,true,,525563,122,19,19,https://www.rokomari.com/book,188,0,0
1695069354660,1035,HTTP Request,200,OK,ThreadLoadTestRokomari 1-6,text,true,,526425,240,24,24,https://www.rokomari.com/book,164,0,91
1695069354660,169,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-6,,true,,872,118,24,24,https://www.rokomari.com/,164,0,91
1695069354832,863,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-6,text,true,,525553,122,24,24,https://www.rokomari.com/book,152,0,0
1695069354772,949,HTTP Request,200,OK,ThreadLoadTestRokomari 1-8,text,true,,526446,240,24,24,https://www.rokomari.com/book,90,0,21
1695069354772,90,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-8,,true,,876,118,24,24,https://www.rokomari.com/,90,0,21
1695069354863,858,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-8,text,true,,525570,122,24,24,https://www.rokomari.com/book,142,0,0
1695069354455,1466,HTTP Request,200,OK,ThreadLoadTestRokomari 1-2,text,true,,526441,240,28,28,https://www.rokomari.com/book,371,0,296
